top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,Class,Microsegmento_Descubierto
x,x,x,x,o,o,x,o,o,positive,Segmento 153
x,x,x,x,o,o,o,x,o,positive,Segmento 28
x,x,x,x,o,o,o,o,x,positive,Segmento 34
x,x,x,x,o,o,o,b,b,positive,Segmento 111
x,x,x,x,o,o,b,o,b,positive,Segmento 183
x,x,x,x,o,o,b,b,o,positive,Segmento 112
x,x,x,x,o,b,o,o,b,positive,Segmento 34
x,x,x,x,o,b,o,b,o,positive,Segmento 28
x,x,x,x,o,b,b,o,o,positive,Segmento 112
x,x,x,x,b,o,o,o,b,positive,Segmento 173
x,x,x,x,b,o,o,b,o,positive,Segmento 86
x,x,x,x,b,o,b,o,o,positive,Segmento 49
x,x,x,o,x,o,x,o,o,positive,Segmento 55
x,x,x,o,x,o,o,x,o,positive,Segmento 67
x,x,x,o,x,o,o,o,x,positive,Segmento 32
x,x,x,o,x,o,o,b,b,positive,Segmento 174
x,x,x,o,x,o,b,o,b,positive,Segmento 117
x,x,x,o,x,o,b,b,o,positive,Segmento 149
x,x,x,o,x,b,o,o,b,positive,Segmento 32
x,x,x,o,x,b,o,b,o,positive,Segmento 4
x,x,x,o,x,b,b,o,o,positive,Segmento 4
x,x,x,o,o,x,x,o,o,positive,Segmento 16
x,x,x,o,o,x,o,x,o,positive,Segmento 75
x,x,x,o,o,x,o,o,x,positive,Sin Segmento
x,x,x,o,o,x,o,b,b,positive,Segmento 102
x,x,x,o,o,x,b,o,b,positive,Segmento 165
x,x,x,o,o,x,b,b,o,positive,Segmento 16
x,x,x,o,o,b,x,o,b,positive,Segmento 154
x,x,x,o,o,b,x,b,o,positive,Segmento 3
x,x,x,o,o,b,o,x,b,positive,Segmento 102
x,x,x,o,o,b,o,b,x,positive,Segmento 5
x,x,x,o,o,b,b,x,o,positive,Segmento 3
x,x,x,o,o,b,b,o,x,positive,Segmento 5
x,x,x,o,o,b,b,b,b,positive,Segmento 154
x,x,x,o,b,x,o,o,b,positive,Segmento 38
x,x,x,o,b,x,o,b,o,positive,Segmento 70
x,x,x,o,b,x,b,o,o,positive,Segmento 70
x,x,x,o,b,o,x,o,b,positive,Segmento 146
x,x,x,o,b,o,x,b,o,positive,Segmento 25
x,x,x,o,b,o,o,x,b,positive,Segmento 38
x,x,x,o,b,o,o,b,x,positive,Segmento 36
x,x,x,o,b,o,b,x,o,positive,Segmento 25
x,x,x,o,b,o,b,o,x,positive,Segmento 115
x,x,x,o,b,o,b,b,b,positive,Segmento 146
x,x,x,o,b,b,x,o,o,positive,Segmento 146
x,x,x,o,b,b,o,x,o,positive,Segmento 86
x,x,x,o,b,b,o,o,x,positive,Segmento 97
x,x,x,o,b,b,o,b,b,positive,Segmento 4
x,x,x,o,b,b,b,o,b,positive,Segmento 4
x,x,x,o,b,b,b,b,o,positive,Segmento 146
x,x,x,b,x,o,o,o,b,positive,Segmento 174
x,x,x,b,x,o,o,b,o,positive,Segmento 4
x,x,x,b,x,o,b,o,o,positive,Segmento 4
x,x,x,b,o,x,o,o,b,positive,Segmento 165
x,x,x,b,o,x,o,b,o,positive,Segmento 163
x,x,x,b,o,x,b,o,o,positive,Segmento 41
x,x,x,b,o,o,x,o,b,positive,Segmento 144
x,x,x,b,o,o,x,b,o,positive,Segmento 3
x,x,x,b,o,o,o,x,b,positive,Segmento 175
x,x,x,b,o,o,o,b,x,positive,Segmento 5
x,x,x,b,o,o,b,x,o,positive,Segmento 3
x,x,x,b,o,o,b,o,x,positive,Segmento 5
x,x,x,b,o,o,b,b,b,positive,Segmento 111
x,x,x,b,o,b,x,o,o,positive,Segmento 16
x,x,x,b,o,b,o,x,o,positive,Segmento 75
x,x,x,b,o,b,o,o,x,positive,Sin Segmento
x,x,x,b,o,b,o,b,b,positive,Segmento 155
x,x,x,b,o,b,b,o,b,positive,Segmento 111
x,x,x,b,o,b,b,b,o,positive,Segmento 16
x,x,x,b,b,o,x,o,o,positive,Segmento 150
x,x,x,b,b,o,o,x,o,positive,Segmento 92
x,x,x,b,b,o,o,o,x,positive,Segmento 35
x,x,x,b,b,o,o,b,b,positive,Segmento 4
x,x,x,b,b,o,b,o,b,positive,Segmento 4
x,x,x,b,b,o,b,b,o,positive,Segmento 150
x,x,x,b,b,b,o,o,b,positive,Segmento 35
x,x,x,b,b,b,o,b,o,positive,Segmento 70
x,x,x,b,b,b,b,o,o,positive,Segmento 70
x,x,o,x,x,o,o,o,x,positive,Segmento 29
x,x,o,x,o,x,x,o,o,positive,Segmento 22
x,x,o,x,o,o,x,o,x,positive,Segmento 34
x,x,o,x,o,o,x,b,b,positive,Segmento 113
x,x,o,x,o,b,x,o,b,positive,Segmento 34
x,x,o,x,o,b,x,b,o,positive,Segmento 182
x,x,o,x,b,o,x,o,b,positive,Segmento 50
x,x,o,x,b,b,x,o,o,positive,Segmento 23
x,x,o,o,x,x,o,x,o,positive,Segmento 77
x,x,o,o,x,x,o,o,x,positive,Segmento 69
x,x,o,o,x,o,x,o,x,positive,Segmento 145
x,x,o,o,x,o,o,x,x,positive,Segmento 64
x,x,o,o,x,o,b,x,b,positive,Segmento 118
x,x,o,o,x,o,b,b,x,positive,Segmento 145
x,x,o,o,x,b,o,x,b,positive,Segmento 123
x,x,o,o,x,b,o,b,x,positive,Segmento 6
x,x,o,o,x,b,b,x,o,positive,Segmento 116
x,x,o,o,x,b,b,o,x,positive,Segmento 94
x,x,o,b,x,o,o,x,b,positive,Segmento 160
x,x,o,b,x,o,o,b,x,positive,Segmento 6
x,x,o,b,x,o,b,o,x,positive,Segmento 29
x,x,o,b,x,b,o,x,o,positive,Segmento 77
x,x,o,b,x,b,o,o,x,positive,Segmento 69
x,x,b,x,o,o,x,o,b,positive,Segmento 143
x,x,b,x,o,o,x,b,o,positive,Segmento 143
x,x,b,x,o,b,x,o,o,positive,Segmento 142
x,x,b,x,b,o,x,o,o,positive,Segmento 23
x,x,b,o,x,o,o,x,b,positive,Segmento 121
x,x,b,o,x,o,o,b,x,positive,Segmento 141
x,x,b,o,x,o,b,x,o,positive,Segmento 67
x,x,b,o,x,o,b,o,x,positive,Segmento 114
x,x,b,o,x,b,o,x,o,positive,Segmento 88
x,x,b,o,x,b,o,o,x,positive,Segmento 138
x,x,b,b,x,o,o,x,o,positive,Segmento 88
x,x,b,b,x,o,o,o,x,positive,Segmento 161
x,o,x,x,x,o,x,o,o,positive,Segmento 66
x,o,x,x,x,o,o,o,x,positive,Segmento 52
x,o,x,x,o,o,x,x,o,positive,Segmento 53
x,o,x,x,o,o,x,b,b,positive,Segmento 183
x,o,x,x,o,b,x,b,o,positive,Segmento 53
x,o,x,x,b,o,x,o,b,positive,Segmento 115
x,o,x,x,b,o,x,b,o,positive,Segmento 129
x,o,x,x,b,b,x,o,o,positive,Segmento 49
x,o,x,o,x,x,x,o,o,positive,Sin Segmento
x,o,x,o,x,x,o,o,x,positive,Segmento 72
x,o,x,o,x,o,x,x,o,positive,Segmento 66
x,o,x,o,x,o,x,o,x,positive,Segmento 170
x,o,x,o,x,o,x,b,b,positive,Segmento 8
x,o,x,o,x,o,o,x,x,positive,Segmento 51
x,o,x,o,x,o,b,b,x,positive,Segmento 20
x,o,x,o,x,b,x,o,b,positive,Segmento 119
x,o,x,o,x,b,x,b,o,positive,Segmento 9
x,o,x,o,x,b,o,b,x,positive,Segmento 135
x,o,x,o,x,b,b,o,x,positive,Segmento 157
x,o,x,o,o,x,o,x,x,positive,Segmento 43
x,o,x,o,o,x,b,b,x,positive,Segmento 19
x,o,x,o,b,x,o,b,x,positive,Segmento 130
x,o,x,o,b,x,b,o,x,positive,Segmento 55
x,o,x,b,x,o,x,o,b,positive,Segmento 119
x,o,x,b,x,o,x,b,o,positive,Segmento 9
x,o,x,b,x,o,o,b,x,positive,Segmento 20
x,o,x,b,x,o,b,o,x,positive,Segmento 107
x,o,x,b,x,b,x,o,o,positive,Segmento 105
x,o,x,b,x,b,o,o,x,positive,Segmento 72
x,o,x,b,o,x,o,b,x,positive,Segmento 19
x,o,x,b,b,x,o,o,x,positive,Segmento 59
x,o,o,x,x,x,x,o,o,positive,Segmento 148
x,o,o,x,x,x,o,x,o,positive,Segmento 43
x,o,o,x,x,x,o,o,x,positive,Segmento 171
x,o,o,x,x,x,o,b,b,positive,Segmento 11
x,o,o,x,x,x,b,o,b,positive,Segmento 21
x,o,o,x,x,x,b,b,o,positive,Segmento 14
x,o,o,x,x,o,x,o,x,positive,Segmento 151
x,o,o,x,x,o,x,b,b,positive,Segmento 8
x,o,o,x,x,o,o,x,x,positive,Segmento 184
x,o,o,x,x,o,b,b,x,positive,Segmento 14
x,o,o,x,x,b,x,o,b,positive,Segmento 114
x,o,o,x,x,b,x,b,o,positive,Segmento 11
x,o,o,x,x,b,o,b,x,positive,Segmento 13
x,o,o,x,x,b,b,o,x,positive,Segmento 21
x,o,o,x,o,x,x,x,o,positive,Segmento 182
x,o,o,x,o,x,x,b,b,positive,Segmento 136
x,o,o,x,o,o,x,x,x,positive,Segmento 168
x,o,o,x,o,b,x,x,b,positive,Segmento 120
x,o,o,x,o,b,x,b,x,positive,Segmento 136
x,o,o,x,b,x,x,o,b,positive,Segmento 50
x,o,o,x,b,x,x,b,o,positive,Segmento 14
x,o,o,x,b,o,x,x,b,positive,Segmento 122
x,o,o,x,b,o,x,b,x,positive,Segmento 14
x,o,o,x,b,b,x,x,o,positive,Segmento 27
x,o,o,x,b,b,x,o,x,positive,Segmento 186
x,o,o,x,b,b,x,b,b,positive,Segmento 130
x,o,o,o,x,x,x,o,x,positive,Segmento 16
x,o,o,o,x,x,o,x,x,positive,Segmento 72
x,o,o,o,x,x,b,b,x,positive,Segmento 16
x,o,o,o,x,o,x,x,x,positive,Segmento 64
x,o,o,o,x,b,x,b,x,positive,Segmento 9
x,o,o,o,x,b,b,x,x,positive,Segmento 18
x,o,o,o,o,x,x,x,x,positive,Segmento 79
x,o,o,o,b,b,x,x,x,positive,Segmento 92
x,o,o,b,x,x,o,b,x,positive,Segmento 20
x,o,o,b,x,x,b,o,x,positive,Segmento 63
x,o,o,b,x,o,x,b,x,positive,Segmento 9
x,o,o,b,x,o,b,x,x,positive,Segmento 116
x,o,o,b,x,b,x,o,x,positive,Segmento 16
x,o,o,b,x,b,o,x,x,positive,Segmento 18
x,o,o,b,x,b,b,b,x,positive,Segmento 13
x,o,o,b,o,b,x,x,x,positive,Segmento 79
x,o,o,b,b,o,x,x,x,positive,Segmento 65
x,o,b,x,x,x,o,o,b,positive,Segmento 121
x,o,b,x,x,x,o,b,o,positive,Segmento 45
x,o,b,x,x,x,b,o,o,positive,Segmento 83
x,o,b,x,x,o,x,o,b,positive,Segmento 114
x,o,b,x,x,o,x,b,o,positive,Segmento 137
x,o,b,x,x,o,o,b,x,positive,Segmento 12
x,o,b,x,x,o,b,o,x,positive,Segmento 107
x,o,b,x,x,b,x,o,o,positive,Segmento 105
x,o,b,x,x,b,o,o,x,positive,Segmento 107
x,o,b,x,o,x,x,b,o,positive,Segmento 15
x,o,b,x,o,o,x,x,b,positive,Segmento 177
x,o,b,x,o,o,x,b,x,positive,Segmento 15
x,o,b,x,o,b,x,x,o,positive,Segmento 98
x,o,b,x,o,b,x,b,b,positive,Segmento 132
x,o,b,x,b,x,x,o,o,positive,Segmento 39
x,o,b,x,b,o,x,x,o,positive,Segmento 39
x,o,b,x,b,o,x,o,x,positive,Segmento 35
x,o,b,x,b,o,x,b,b,positive,Segmento 134
x,o,b,x,b,b,x,o,b,positive,Segmento 35
x,o,b,x,b,b,x,b,o,positive,Segmento 129
x,o,b,o,x,x,o,b,x,positive,Segmento 101
x,o,b,o,x,x,b,o,x,positive,Segmento 80
x,o,b,o,x,o,x,b,x,positive,Segmento 125
x,o,b,o,x,o,b,x,x,positive,Segmento 117
x,o,b,o,x,b,x,o,x,positive,Segmento 145
x,o,b,o,x,b,o,x,x,positive,Segmento 101
x,o,b,o,x,b,b,b,x,positive,Segmento 18
x,o,b,o,o,b,x,x,x,positive,Segmento 91
x,o,b,o,b,o,x,x,x,positive,Segmento 68
x,o,b,b,x,x,o,o,x,positive,Segmento 158
x,o,b,b,x,o,x,o,x,positive,Segmento 17
x,o,b,b,x,o,o,x,x,positive,Segmento 158
x,o,b,b,x,o,b,b,x,positive,Segmento 12
x,o,b,b,x,b,o,b,x,positive,Segmento 18
x,o,b,b,x,b,b,o,x,positive,Segmento 80
x,o,b,b,o,o,x,x,x,positive,Segmento 91
x,b,x,x,o,o,x,o,b,positive,Segmento 143
x,b,x,x,o,o,x,b,o,positive,Segmento 143
x,b,x,x,o,b,x,o,o,positive,Segmento 142
x,b,x,x,b,o,x,o,o,positive,Segmento 129
x,b,x,o,x,o,x,o,b,positive,Segmento 8
x,b,x,o,x,o,x,b,o,positive,Segmento 65
x,b,x,o,x,o,o,b,x,positive,Segmento 141
x,b,x,o,x,o,b,o,x,positive,Segmento 20
x,b,x,o,x,b,x,o,o,positive,Segmento 9
x,b,x,o,x,b,o,o,x,positive,Segmento 135
x,b,x,o,o,x,o,b,x,positive,Segmento 60
x,b,x,o,o,x,b,o,x,positive,Segmento 19
x,b,x,o,b,x,o,o,x,positive,Segmento 59
x,b,x,b,x,o,x,o,o,positive,Segmento 9
x,b,x,b,x,o,o,o,x,positive,Segmento 20
x,b,x,b,o,x,o,o,x,positive,Segmento 19
x,b,o,x,x,x,o,o,b,positive,Segmento 11
x,b,o,x,x,x,o,b,o,positive,Segmento 45
x,b,o,x,x,x,b,o,o,positive,Segmento 14
x,b,o,x,x,o,x,o,b,positive,Segmento 8
x,b,o,x,x,o,o,b,x,positive,Segmento 87
x,b,o,x,x,o,b,o,x,positive,Segmento 14
x,b,o,x,x,b,x,o,o,positive,Segmento 11
x,b,o,x,x,b,o,o,x,positive,Segmento 13
x,b,o,x,o,x,x,o,b,positive,Segmento 136
x,b,o,x,o,x,x,b,o,positive,Segmento 22
x,b,o,x,o,o,x,x,b,positive,Segmento 120
x,b,o,x,o,o,x,b,x,positive,Segmento 112
x,b,o,x,o,b,x,x,o,positive,Segmento 98
x,b,o,x,o,b,x,o,x,positive,Segmento 112
x,b,o,x,o,b,x,b,b,positive,Segmento 168
x,b,o,x,b,x,x,o,o,positive,Segmento 14
x,b,o,x,b,o,x,o,x,positive,Segmento 14
x,b,o,x,b,o,x,b,b,positive,Segmento 186
x,b,o,x,b,b,x,o,b,positive,Segmento 130
x,b,o,x,b,b,x,b,o,positive,Segmento 23
x,b,o,o,x,x,o,b,x,positive,Segmento 100
x,b,o,o,x,x,b,o,x,positive,Segmento 20
x,b,o,o,x,o,x,b,x,positive,Segmento 63
x,b,o,o,x,o,b,x,x,positive,Segmento 18
x,b,o,o,x,b,x,o,x,positive,Segmento 9
x,b,o,o,x,b,o,x,x,positive,Segmento 87
x,b,o,o,x,b,b,b,x,positive,Segmento 157
x,b,o,o,o,b,x,x,x,positive,Segmento 96
x,b,o,o,b,o,x,x,x,positive,Segmento 68
x,b,o,b,x,x,o,o,x,positive,Segmento 20
x,b,o,b,x,o,x,o,x,positive,Segmento 9
x,b,o,b,x,o,o,x,x,positive,Segmento 18
x,b,o,b,x,o,b,b,x,positive,Segmento 17
x,b,o,b,x,b,o,b,x,positive,Segmento 157
x,b,o,b,x,b,b,o,x,positive,Segmento 13
x,b,o,b,o,o,x,x,x,positive,Segmento 96
x,b,b,x,x,o,x,o,o,positive,Segmento 137
x,b,b,x,x,o,o,o,x,positive,Segmento 12
x,b,b,x,o,x,x,o,o,positive,Segmento 15
x,b,b,x,o,o,x,x,o,positive,Segmento 53
x,b,b,x,o,o,x,o,x,positive,Segmento 15
x,b,b,x,o,o,x,b,b,positive,Segmento 169
x,b,b,x,o,b,x,o,b,positive,Segmento 132
x,b,b,x,o,b,x,b,o,positive,Segmento 53
x,b,b,x,b,o,x,o,b,positive,Segmento 134
x,b,b,x,b,o,x,b,o,positive,Segmento 23
x,b,b,x,b,b,x,o,o,positive,Segmento 129
x,b,b,o,x,x,o,o,x,positive,Segmento 135
x,b,b,o,x,o,x,o,x,positive,Segmento 125
x,b,b,o,x,o,o,x,x,positive,Segmento 51
x,b,b,o,x,o,b,b,x,positive,Segmento 18
x,b,b,o,x,b,o,b,x,positive,Segmento 6
x,b,b,o,x,b,b,o,x,positive,Segmento 19
x,b,b,b,x,o,o,b,x,positive,Segmento 6
x,b,b,b,x,o,b,o,x,positive,Segmento 12
x,b,b,b,x,b,o,o,x,positive,Segmento 19
o,x,x,x,x,o,x,o,o,positive,Segmento 82
o,x,x,x,x,o,o,x,o,positive,Segmento 30
o,x,x,x,o,x,o,o,x,positive,Segmento 31
o,x,x,o,x,x,x,o,o,positive,Segmento 81
o,x,x,o,x,o,x,x,o,positive,Segmento 82
o,x,x,o,x,o,x,o,x,positive,Segmento 37
o,x,x,o,x,o,x,b,b,positive,Segmento 26
o,x,x,o,x,o,b,x,b,positive,Segmento 26
o,x,x,o,x,b,x,o,b,positive,Segmento 37
o,x,x,o,x,b,x,b,o,positive,Segmento 3
o,x,x,o,x,b,b,x,o,positive,Segmento 3
o,x,x,o,o,x,x,o,x,positive,Segmento 153
o,x,x,o,o,x,b,b,x,positive,Segmento 153
o,x,x,o,b,x,b,o,x,positive,Segmento 24
o,x,x,b,x,o,x,o,b,positive,Segmento 89
o,x,x,b,x,o,x,b,o,positive,Segmento 3
o,x,x,b,x,o,o,x,b,positive,Segmento 109
o,x,x,b,x,o,b,x,o,positive,Segmento 3
o,x,x,b,x,b,x,o,o,positive,Segmento 81
o,x,x,b,x,b,o,x,o,positive,Segmento 110
o,x,x,b,o,x,o,b,x,positive,Segmento 162
o,x,x,b,o,x,b,o,x,positive,Segmento 31
