top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,Class,Microsegmento_Descubierto
o,x,x,b,b,x,o,o,x,positive,Segmento 24
o,x,o,x,x,x,x,o,o,positive,Segmento 147
o,x,o,x,x,x,o,x,o,positive,Segmento 30
o,x,o,x,x,x,o,o,x,positive,Segmento 40
o,x,o,x,x,x,o,b,b,positive,Segmento 103
o,x,o,x,x,x,b,o,b,positive,Segmento 42
o,x,o,x,x,x,b,b,o,positive,Segmento 103
o,x,o,x,x,o,o,x,x,positive,Segmento 40
o,x,o,x,x,o,b,x,b,positive,Segmento 42
o,x,o,x,x,b,o,x,b,positive,Segmento 103
o,x,o,x,x,b,b,x,o,positive,Segmento 103
o,x,o,x,o,o,x,x,x,positive,Segmento 181
o,x,o,o,x,x,x,x,o,positive,Segmento 76
o,x,o,o,x,x,b,x,b,positive,Segmento 76
o,x,o,o,x,o,x,x,x,positive,Segmento 32
o,x,o,o,x,b,x,x,b,positive,Segmento 32
o,x,o,o,x,b,b,x,x,positive,Segmento 89
o,x,o,o,o,x,x,x,x,positive,Segmento 75
o,x,o,o,b,b,x,x,x,positive,Segmento 7
o,x,o,b,x,x,o,x,b,positive,Segmento 21
o,x,o,b,x,x,b,x,o,positive,Segmento 30
o,x,o,b,x,o,x,x,b,positive,Segmento 90
o,x,o,b,x,o,b,x,x,positive,Segmento 89
o,x,o,b,x,b,x,x,o,positive,Segmento 76
o,x,o,b,x,b,o,x,x,positive,Segmento 21
o,x,o,b,x,b,b,x,b,positive,Segmento 76
o,x,o,b,o,b,x,x,x,positive,Segmento 75
o,x,o,b,b,o,x,x,x,positive,Segmento 7
o,x,b,x,x,x,o,o,b,positive,Segmento 40
o,x,b,x,x,x,o,b,o,positive,Segmento 140
o,x,b,x,x,x,b,o,o,positive,Segmento 82
o,x,b,x,x,o,o,x,b,positive,Segmento 40
o,x,b,x,x,o,b,x,o,positive,Segmento 106
o,x,b,x,x,b,o,x,o,positive,Segmento 110
o,x,b,o,x,x,b,x,o,positive,Segmento 81
o,x,b,o,x,o,x,x,b,positive,Segmento 176
o,x,b,o,x,o,b,x,x,positive,Segmento 33
o,x,b,o,x,b,x,x,o,positive,Segmento 140
o,x,b,o,x,b,b,x,b,positive,Segmento 2
o,x,b,o,o,b,x,x,x,positive,Segmento 138
o,x,b,o,b,o,x,x,x,positive,Sin Segmento
o,x,b,b,x,x,o,x,o,positive,Segmento 179
o,x,b,b,x,o,x,x,o,positive,Segmento 139
o,x,b,b,x,o,o,x,x,positive,Segmento 37
o,x,b,b,x,o,b,x,b,positive,Segmento 2
o,x,b,b,x,b,o,x,b,positive,Segmento 37
o,x,b,b,x,b,b,x,o,positive,Segmento 81
o,x,b,b,o,o,x,x,x,positive,Segmento 142
o,o,x,x,x,x,x,o,o,positive,Segmento 147
o,o,x,x,x,x,o,x,o,positive,Segmento 54
o,o,x,x,x,x,o,o,x,positive,Segmento 166
o,o,x,x,x,x,o,b,b,positive,Segmento 11
o,o,x,x,x,x,b,o,b,positive,Segmento 176
o,o,x,x,x,x,b,b,o,positive,Segmento 147
o,o,x,x,x,o,x,x,o,positive,Segmento 83
o,o,x,x,x,o,x,o,x,positive,Segmento 33
o,o,x,x,x,o,x,b,b,positive,Segmento 86
o,o,x,x,x,b,x,o,b,positive,Segmento 33
o,o,x,x,x,b,x,b,o,positive,Segmento 11
o,o,x,x,o,x,o,x,x,positive,Segmento 29
o,o,x,x,o,x,b,b,x,positive,Segmento 127
o,o,x,x,o,o,x,x,x,positive,Segmento 52
o,o,x,x,b,x,o,b,x,positive,Segmento 13
o,o,x,x,b,x,b,o,x,positive,Sin Segmento
o,o,x,o,x,x,x,x,o,positive,Segmento 74
o,o,x,o,x,x,x,o,x,positive,Segmento 39
o,o,x,o,x,x,x,b,b,positive,Segmento 73
o,o,x,o,x,x,b,b,x,positive,Segmento 150
o,o,x,o,x,o,x,x,x,positive,Segmento 39
o,o,x,o,x,b,x,x,b,positive,Segmento 48
o,o,x,o,x,b,x,b,x,positive,Segmento 124
o,o,x,o,o,x,x,x,x,positive,Segmento 78
o,o,x,o,b,x,x,b,x,positive,Segmento 25
o,o,x,o,b,x,b,x,x,positive,Segmento 25
o,o,x,o,b,b,x,x,x,positive,Segmento 27
o,o,x,b,x,x,x,o,b,positive,Segmento 56
o,o,x,b,x,x,x,b,o,positive,Segmento 99
o,o,x,b,x,x,o,b,x,positive,Segmento 110
o,o,x,b,x,x,b,o,x,positive,Segmento 1
o,o,x,b,x,o,x,x,b,positive,Segmento 56
o,o,x,b,x,o,x,b,x,positive,Segmento 57
o,o,x,b,x,b,x,x,o,positive,Segmento 74
o,o,x,b,x,b,x,o,x,positive,Segmento 57
o,o,x,b,x,b,x,b,b,positive,Segmento 61
o,o,x,b,o,x,x,b,x,positive,Segmento 127
o,o,x,b,o,x,b,x,x,positive,Segmento 29
o,o,x,b,o,b,x,x,x,positive,Segmento 78
o,o,x,b,b,x,x,o,x,positive,Segmento 61
o,o,x,b,b,x,o,x,x,positive,Segmento 178
o,o,x,b,b,x,b,b,x,positive,Segmento 13
o,o,x,b,b,o,x,x,x,positive,Segmento 58
o,o,b,x,x,x,x,o,b,positive,Segmento 17
o,o,b,x,x,x,x,b,o,positive,Segmento 44
o,o,b,x,x,x,o,x,b,positive,Segmento 46
o,o,b,x,x,x,o,b,x,positive,Segmento 46
o,o,b,x,x,x,b,x,o,positive,Segmento 47
o,o,b,x,x,x,b,o,x,positive,Segmento 47
o,o,b,x,x,x,b,b,b,positive,Segmento 17
o,o,b,x,o,b,x,x,x,positive,Segmento 104
o,o,b,x,b,o,x,x,x,positive,Sin Segmento
o,o,b,o,x,b,x,x,x,positive,Segmento 48
o,o,b,o,b,x,x,x,x,positive,Segmento 71
o,o,b,b,x,o,x,x,x,positive,Segmento 1
o,o,b,b,o,x,x,x,x,positive,Segmento 45
o,o,b,b,b,b,x,x,x,positive,Segmento 58
o,b,x,x,x,x,o,o,b,positive,Segmento 11
o,b,x,x,x,x,o,b,o,positive,Segmento 140
o,b,x,x,x,x,b,o,o,positive,Segmento 139
o,b,x,x,x,o,x,o,b,positive,Segmento 84
o,b,x,x,x,o,x,b,o,positive,Segmento 87
o,b,x,x,x,b,x,o,o,positive,Segmento 11
o,b,x,x,o,x,o,b,x,positive,Segmento 31
o,b,x,x,o,x,b,o,x,positive,Segmento 127
o,b,x,x,b,x,o,o,x,positive,Segmento 13
o,b,x,o,x,x,x,o,b,positive,Segmento 56
o,b,x,o,x,x,x,b,o,positive,Segmento 74
o,b,x,o,x,x,b,o,x,positive,Segmento 1
o,b,x,o,x,o,x,x,b,positive,Segmento 56
o,b,x,o,x,o,x,b,x,positive,Segmento 57
o,b,x,o,x,b,x,x,o,positive,Segmento 87
o,b,x,o,x,b,x,o,x,positive,Segmento 57
o,b,x,o,x,b,x,b,b,positive,Segmento 2
o,b,x,o,o,x,x,b,x,positive,Segmento 101
o,b,x,o,o,x,b,x,x,positive,Segmento 62
o,b,x,o,o,b,x,x,x,positive,Segmento 101
o,b,x,o,b,x,x,o,x,positive,Segmento 27
o,b,x,o,b,x,b,b,x,positive,Segmento 24
o,b,x,o,b,o,x,x,x,positive,Segmento 58
o,b,x,b,x,x,x,o,o,positive,Segmento 131
o,b,x,b,x,x,o,o,x,positive,Segmento 109
o,b,x,b,x,o,x,x,o,positive,Segmento 139
o,b,x,b,x,o,x,o,x,positive,Segmento 36
o,b,x,b,x,o,x,b,b,positive,Segmento 2
o,b,x,b,x,b,x,o,b,positive,Segmento 36
o,b,x,b,x,b,x,b,o,positive,Segmento 74
o,b,x,b,o,x,x,o,x,positive,Segmento 127
o,b,x,b,o,x,o,x,x,positive,Segmento 162
o,b,x,b,o,x,b,b,x,positive,Segmento 31
o,b,x,b,o,o,x,x,x,positive,Segmento 108
o,b,x,b,b,x,o,b,x,positive,Segmento 24
o,b,x,b,b,x,b,o,x,positive,Segmento 13
o,b,o,x,x,x,x,o,b,positive,Segmento 17
o,b,o,x,x,x,x,b,o,positive,Segmento 44
o,b,o,x,x,x,o,x,b,positive,Segmento 46
o,b,o,x,x,x,o,b,x,positive,Segmento 46
o,b,o,x,x,x,b,x,o,positive,Segmento 47
o,b,o,x,x,x,b,o,x,positive,Segmento 47
o,b,o,x,x,x,b,b,b,positive,Segmento 17
o,b,o,x,o,b,x,x,x,positive,Segmento 181
o,b,o,x,b,o,x,x,x,positive,Segmento 185
o,b,o,o,x,b,x,x,x,positive,Segmento 90
o,b,o,o,b,x,x,x,x,positive,Segmento 71
o,b,o,b,x,o,x,x,x,positive,Segmento 90
o,b,o,b,o,x,x,x,x,positive,Segmento 45
o,b,o,b,b,b,x,x,x,positive,Segmento 71
o,b,b,x,x,x,x,o,o,positive,Segmento 149
o,b,b,x,x,x,o,x,o,positive,Segmento 54
o,b,b,x,x,x,o,o,x,positive,Segmento 109
o,b,b,x,x,x,o,b,b,positive,Segmento 166
o,b,b,x,x,x,b,o,b,positive,Segmento 84
o,b,b,x,x,x,b,b,o,positive,Segmento 149
o,b,b,x,o,o,x,x,x,positive,Segmento 52
o,b,b,o,x,o,x,x,x,positive,Segmento 1
o,b,b,o,o,x,x,x,x,positive,Segmento 78
o,b,b,o,b,b,x,x,x,positive,Segmento 7
o,b,b,b,o,b,x,x,x,positive,Segmento 78
o,b,b,b,b,o,x,x,x,positive,Segmento 7
b,x,x,o,x,o,x,o,b,positive,Segmento 117
b,x,x,o,x,o,x,b,o,positive,Segmento 55
b,x,x,o,x,o,o,x,b,positive,Segmento 180
b,x,x,o,x,o,b,x,o,positive,Sin Segmento
b,x,x,o,x,b,x,o,o,positive,Segmento 93
b,x,x,o,x,b,o,x,o,positive,Segmento 67
b,x,x,o,o,x,o,b,x,positive,Segmento 43
b,x,x,o,o,x,b,o,x,positive,Segmento 155
b,x,x,o,b,x,o,o,x,positive,Segmento 122
b,x,x,b,x,o,x,o,o,positive,Segmento 93
b,x,x,b,x,o,o,x,o,positive,Segmento 88
b,x,x,b,o,x,o,o,x,positive,Segmento 155
b,x,o,x,x,x,o,o,b,positive,Segmento 42
b,x,o,x,x,x,o,b,o,positive,Segmento 43
b,x,o,x,x,x,b,o,o,positive,Segmento 22
b,x,o,x,x,o,o,x,b,positive,Segmento 42
b,x,o,x,x,b,o,x,o,positive,Segmento 100
b,x,o,o,x,x,o,x,b,positive,Segmento 69
b,x,o,o,x,x,b,x,o,positive,Segmento 77
b,x,o,o,x,o,x,x,b,positive,Segmento 118
b,x,o,o,x,o,b,x,x,positive,Segmento 159
b,x,o,o,x,b,x,x,o,positive,Segmento 116
b,x,o,o,x,b,o,x,x,positive,Segmento 64
b,x,o,o,x,b,b,x,b,positive,Segmento 94
b,x,o,o,o,b,x,x,x,positive,Segmento 6
b,x,o,o,b,o,x,x,x,positive,Segmento 50
b,x,o,b,x,x,o,x,o,positive,Segmento 156
b,x,o,b,x,o,o,x,x,positive,Segmento 159
b,x,o,b,x,o,b,x,b,positive,Segmento 94
b,x,o,b,x,b,o,x,b,positive,Segmento 69
b,x,o,b,x,b,b,x,o,positive,Segmento 77
b,x,o,b,o,o,x,x,x,positive,Segmento 6
b,x,b,x,x,o,o,x,o,positive,Segmento 105
b,x,b,o,x,x,o,x,o,positive,Sin Segmento
b,x,b,o,x,o,x,x,o,positive,Segmento 141
b,x,b,o,x,o,o,x,x,positive,Segmento 121
b,x,b,o,x,o,b,x,b,positive,Segmento 161
b,x,b,o,x,b,o,x,b,positive,Segmento 95
b,x,b,o,x,b,b,x,o,positive,Segmento 2
b,x,b,b,x,o,o,x,b,positive,Segmento 95
b,x,b,b,x,o,b,x,o,positive,Segmento 2
b,x,b,b,x,b,o,x,o,positive,Sin Segmento
b,o,x,x,x,x,o,o,b,positive,Segmento 51
b,o,x,x,x,x,o,b,o,positive,Segmento 54
b,o,x,x,x,x,b,o,o,positive,Segmento 176
b,o,x,x,x,o,x,o,b,positive,Segmento 85
b,o,x,x,x,o,x,b,o,positive,Segmento 128
b,o,x,x,x,b,x,o,o,positive,Segmento 66
b,o,x,x,o,x,o,b,x,positive,Segmento 12
b,o,x,x,b,x,o,o,x,positive,Segmento 173
b,o,x,o,x,x,x,o,b,positive,Segmento 41
b,o,x,o,x,x,x,b,o,positive,Segmento 15
b,o,x,o,x,x,o,b,x,positive,Segmento 8
b,o,x,o,x,x,b,o,x,positive,Segmento 175
b,o,x,o,x,o,x,x,b,positive,Segmento 41
b,o,x,o,x,o,x,b,x,positive,Segmento 15
b,o,x,o,x,b,x,x,o,positive,Segmento 66
b,o,x,o,x,b,x,o,x,positive,Segmento 119
b,o,x,o,x,b,x,b,b,positive,Segmento 10
b,o,x,o,o,x,x,b,x,positive,Segmento 102
b,o,x,o,o,x,b,x,x,positive,Segmento 164
b,o,x,o,o,b,x,x,x,positive,Segmento 102
b,o,x,o,b,x,x,o,x,positive,Segmento 38
b,o,x,o,b,x,o,x,x,positive,Segmento 173
b,o,x,o,b,x,b,b,x,positive,Segmento 55
b,o,x,o,b,o,x,x,x,positive,Segmento 38
b,o,x,b,x,x,x,o,o,positive,Segmento 106
b,o,x,b,x,x,o,o,x,positive,Segmento 174
b,o,x,b,x,o,x,x,o,positive,Segmento 93
b,o,x,b,x,o,x,o,x,positive,Segmento 119
b,o,x,b,x,o,x,b,b,positive,Segmento 10
b,o,x,b,x,b,x,o,b,positive,Segmento 80
b,o,x,b,x,b,x,b,o,positive,Segmento 131
b,o,x,b,o,x,o,x,x,positive,Segmento 60
b,o,x,b,o,x,b,b,x,positive,Segmento 12
b,o,x,b,o,o,x,x,x,positive,Segmento 104
b,o,x,b,b,x,o,b,x,positive,Segmento 59
b,o,x,b,b,x,b,o,x,positive,Segmento 1
b,o,o,x,x,x,x,o,b,positive,Segmento 151
b,o,o,x,x,x,x,b,o,positive,Segmento 26
b,o,o,x,x,x,o,x,b,positive,Segmento 184
b,o,o,x,x,x,o,b,x,positive,Segmento 8
b,o,o,x,x,x,b,x,o,positive,Segmento 26
b,o,o,x,x,x,b,o,x,positive,Segmento 123
b,o,o,x,x,x,b,b,b,positive,Segmento 151
b,o,o,x,o,b,x,x,x,positive,Segmento 120
b,o,o,x,b,o,x,x,x,positive,Segmento 122
b,o,o,o,x,b,x,x,x,positive,Segmento 64
b,o,o,o,b,x,x,x,x,positive,Segmento 50
b,o,o,b,x,o,x,x,x,positive,Segmento 116
b,o,o,b,o,x,x,x,x,positive,Segmento 62
b,o,o,b,b,b,x,x,x,positive,Segmento 65
b,o,b,x,x,x,x,o,o,positive,Segmento 106
b,o,b,x,x,x,o,x,o,positive,Segmento 44
b,o,b,x,x,x,o,o,x,positive,Segmento 121
b,o,b,x,x,x,o,b,b,positive,Segmento 133
b,o,b,x,x,x,b,o,b,positive,Segmento 85
b,o,b,x,x,x,b,b,o,positive,Segmento 137
b,o,b,x,o,o,x,x,x,positive,Segmento 104
b,o,b,o,x,o,x,x,x,positive,Segmento 117
b,o,b,o,o,x,x,x,x,positive,Sin Segmento
b,o,b,o,b,b,x,x,x,positive,Segmento 68
b,o,b,b,o,b,x,x,x,positive,Sin Segmento
b,o,b,b,b,o,x,x,x,positive,Segmento 1
b,b,x,x,x,o,x,o,o,positive,Segmento 128
b,b,x,x,o,x,o,o,x,positive,Segmento 12
b,b,x,o,x,x,x,o,o,positive,Segmento 15
b,b,x,o,x,x,o,o,x,positive,Segmento 8
b,b,x,o,x,o,x,x,o,positive,Segmento 141
b,b,x,o,x,o,x,o,x,positive,Segmento 15
b,b,x,o,x,o,x,b,b,positive,Segmento 172
b,b,x,o,x,b,x,o,b,positive,Segmento 10
b,b,x,o,x,b,x,b,o,positive,Segmento 2
b,b,x,o,o,x,x,o,x,positive,Segmento 144
b,b,x,o,o,x,o,x,x,positive,Segmento 60
b,b,x,o,o,x,b,b,x,positive,Segmento 144
b,b,x,o,b,x,o,b,x,positive,Segmento 59
b,b,x,o,b,x,b,o,x,positive,Segmento 1
b,b,x,b,x,o,x,o,b,positive,Segmento 10
b,b,x,b,x,o,x,b,o,positive,Segmento 2
b,b,x,b,x,b,x,o,o,positive,Segmento 131
b,b,x,b,o,x,o,b,x,positive,Segmento 164
b,b,x,b,o,x,b,o,x,positive,Segmento 12
b,b,x,b,b,x,o,o,x,positive,Segmento 134
b,b,o,x,x,x,x,o,o,positive,Segmento 126
b,b,o,x,x,x,o,x,o,positive,Segmento 44
b,b,o,x,x,x,o,o,x,positive,Segmento 8
b,b,o,x,x,x,o,b,b,positive,Segmento 167
b,b,o,x,x,x,b,o,b,positive,Segmento 171
b,b,o,x,x,x,b,b,o,positive,Segmento 22
b,b,o,x,o,o,x,x,x,positive,Segmento 120
b,b,o,o,x,o,x,x,x,positive,Segmento 118
b,b,o,o,o,x,x,x,x,positive,Segmento 62
b,b,o,o,b,b,x,x,x,positive,Segmento 68
b,b,o,b,o,b,x,x,x,positive,Segmento 79
b,b,o,b,b,o,x,x,x,positive,Segmento 97
b,b,b,x,x,x,o,o,b,positive,Segmento 51
b,b,b,x,x,x,o,b,o,positive,Segmento 54
b,b,b,x,x,x,b,o,o,positive,Segmento 137
b,b,b,o,o,b,x,x,x,positive,Segmento 6
b,b,b,o,b,o,x,x,x,positive,Segmento 1
b,b,b,b,o,o,x,x,x,positive,Segmento 6
x,x,o,x,x,o,o,b,o,negative,Sin Segmento
x,x,o,x,x,o,b,o,o,negative,Sin Segmento
x,x,o,x,x,b,o,o,o,negative,Sin Segmento
x,x,o,x,o,x,o,o,b,negative,Sin Segmento
x,x,o,x,o,x,o,b,o,negative,Sin Segmento
x,x,o,x,o,o,o,x,b,negative,Sin Segmento
x,x,o,x,o,o,o,b,x,negative,Sin Segmento
x,x,o,x,o,o,b,x,o,negative,Sin Segmento
x,x,o,x,o,b,o,x,o,negative,Sin Segmento
x,x,o,x,o,b,o,o,x,negative,Sin Segmento
x,x,o,x,o,b,o,b,b,negative,Sin Segmento
x,x,o,x,b,x,o,o,o,negative,Sin Segmento
x,x,o,x,b,o,o,x,o,negative,Sin Segmento
x,x,o,x,b,o,b,b,o,negative,Sin Segmento
